01mat_1block,Epoch,neat-night-3 - train_accuracy__MAX,val_accuracy,,01mat_2block,Epoch,vocal-vortex-1 - train_accuracy__MAX,val_accuracy,,01mat_4block,Epoch,helpful-pine-1 - train_accuracy__MAX,val_accuracy,,01mat_8block,Epoch,atomic-feather-1 - train_accuracy__MAX,atomic-feather-1 - val_accuracy__MAX
,1,0.526216216,0.51,,,1,0.528108108,0.5,,,1,0.53027027,0.52,,,1,0.531891892,0.6
,100,0.858378378,0.85,,,100,0.945135135,0.94,,,100,0.99,1,,,100,0.998918919,1
,200,0.939189189,0.92,,,200,0.985945946,1,,,200,1,1,,,200,1,1
,300,0.961621622,0.96,,,300,0.991891892,1,,,300,1,1,,,300,1,1
,400,0.975675676,0.96,,,400,0.997297297,1,,,400,1,1,,,400,1,1
,500,0.983243243,0.96,,,500,0.998918919,1,,,500,1,1,,,500,1,1
,600,0.987567568,0.97,,,600,0.999189189,1,,,600,1,1,,,600,1,1
,700,0.989459459,0.97,,,700,1,1,,,700,1,1,,,700,1,1
,800,0.99,0.99,,,800,1,1,,,800,1,1,,,800,1,1
,900,0.991351351,0.99,,,900,1,1,,,900,1,1,,,900,1,1
,999,0.990540541,0.99,,,999,1,1,,,999,1,1,,,999,1,1
