01mat_2block,Epoch,vocal-vortex-1 - train_accuracy__MAX,vocal-vortex-1 - val_accuracy__MAX
,1,0.528108108,0.5
,2,0.532432432,0.52
,3,0.53972973,0.55
,4,0.538918919,0.57
,5,0.541621622,0.52
,6,0.552702703,0.55
,7,0.56,0.56
,8,0.562432432,0.57
,9,0.566756757,0.55
,10,0.574864865,0.51
,11,0.581081081,0.54
,12,0.584054054,0.53
,13,0.591891892,0.56
,14,0.599189189,0.57
,15,0.604324324,0.6
,16,0.61027027,0.6
,17,0.61972973,0.6
,18,0.625945946,0.59
,19,0.632702703,0.6
,20,0.64,0.59
,21,0.641081081,0.55
,22,0.65,0.57
,23,0.655405405,0.57
,24,0.66027027,0.59
,25,0.667567568,0.63
,26,0.673513514,0.62
,27,0.678378378,0.64
,28,0.684864865,0.64
,29,0.696216216,0.66
,30,0.701081081,0.7
,31,0.713783784,0.69
,32,0.723513514,0.68
,33,0.734324324,0.72
,34,0.738648649,0.76
,35,0.741621622,0.72
,36,0.748648649,0.72
,37,0.751351351,0.74
,38,0.755135135,0.7
,39,0.759189189,0.72
,40,0.758648649,0.74
,41,0.765135135,0.73
,42,0.773243243,0.74
,43,0.782162162,0.76
,44,0.787027027,0.79
,45,0.797567568,0.81
,46,0.801081081,0.82
,47,0.804054054,0.85
,48,0.814324324,0.86
,49,0.816756757,0.85
,50,0.821081081,0.86
,51,0.829189189,0.86
,52,0.839189189,0.85
,53,0.842432432,0.85
,54,0.848648649,0.86
,55,0.846216216,0.82
,56,0.846486486,0.81
,57,0.852702703,0.85
,58,0.859459459,0.85
,59,0.854054054,0.87
,60,0.859189189,0.83
,61,0.868648649,0.86
,62,0.880810811,0.85
,63,0.877027027,0.84
,64,0.871891892,0.86
,65,0.869189189,0.86
,66,0.873513514,0.87
,67,0.876216216,0.9
,68,0.885675676,0.87
,69,0.885675676,0.89
,70,0.887567568,0.88
,71,0.892432432,0.89
,72,0.899189189,0.89
,73,0.903513514,0.9
,74,0.907297297,0.92
,75,0.903783784,0.91
,76,0.904324324,0.94
,77,0.90972973,0.93
,78,0.911891892,0.93
,79,0.912972973,0.93
,80,0.913783784,0.92
,81,0.914864865,0.91
,82,0.922162162,0.93
,83,0.91972973,0.92
,84,0.922432432,0.93
,85,0.928108108,0.94
,86,0.926756757,0.93
,87,0.932162162,0.96
,88,0.928378378,0.96
,89,0.932972973,0.96
,90,0.931621622,0.95
,91,0.931891892,0.96
,92,0.937297297,0.95
,93,0.936216216,0.94
,94,0.938108108,0.95
,95,0.941891892,0.96
,96,0.944594595,0.95
,97,0.945135135,0.96
,98,0.944864865,0.96
,99,0.944864865,0.95
,100,0.945135135,0.94
,101,0.948108108,0.95
,102,0.948108108,0.95
,103,0.947837838,0.96
,104,0.950810811,0.97
,105,0.951351351,0.97
,106,0.953783784,0.97
,107,0.954324324,0.98
,108,0.955135135,0.98
,109,0.957297297,0.98
,110,0.955675676,0.98
,111,0.956216216,0.98
,112,0.956216216,0.97
,113,0.956486486,0.97
,114,0.957837838,0.97
,115,0.959459459,0.98
,116,0.957027027,0.97
,117,0.958648649,0.98
,118,0.96027027,0.98
,119,0.96027027,0.98
,120,0.959459459,0.98
,121,0.961891892,0.98
,122,0.958918919,0.98
,123,0.962702703,0.98
,124,0.962162162,0.98
