"Step","decent-capybara-1 - train_accuracy","decent-capybara-1 - train_accuracy__MIN","decent-capybara-1 - train_accuracy__MAX","decent-capybara-1 - val_accuracy","decent-capybara-1 - val_accuracy__MIN","decent-capybara-1 - val_accuracy__MAX"
"1","0.5291891891891892","0.5291891891891892","0.5291891891891892","0.53","0.53","0.53"
"3","0.5343243243243242","0.5343243243243242","0.5343243243243242","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"5","0.5318918918918919","0.5318918918918919","0.5318918918918919","0.53","0.53","0.53"
"7","0.5370270270270271","0.5370270270270271","0.5370270270270271","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"9","0.5413513513513514","0.5413513513513514","0.5413513513513514","0.5","0.5","0.5"
"11","0.5421621621621622","0.5421621621621622","0.5421621621621622","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"13","0.5462162162162164","0.5462162162162164","0.5462162162162164","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"15","0.5472972972972973","0.5472972972972973","0.5472972972972973","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"17","0.5513513513513515","0.5513513513513515","0.5513513513513515","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"19","0.5543243243243243","0.5543243243243243","0.5543243243243243","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"21","0.5589189189189189","0.5589189189189189","0.5589189189189189","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"23","0.5618918918918919","0.5618918918918919","0.5618918918918919","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"25","0.5608108108108107","0.5608108108108107","0.5608108108108107","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"27","0.5629729729729729","0.5629729729729729","0.5629729729729729","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"29","0.5648648648648649","0.5648648648648649","0.5648648648648649","0.62","0.62","0.62"
"31","0.562972972972973","0.562972972972973","0.562972972972973","0.62","0.62","0.62"
"33","0.5637837837837839","0.5637837837837839","0.5637837837837839","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"35","0.5708108108108109","0.5708108108108109","0.5708108108108109","0.59","0.59","0.59"
"37","0.5681081081081082","0.5681081081081082","0.5681081081081082","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"39","0.5672972972972973","0.5672972972972973","0.5672972972972973","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"41","0.5705405405405406","0.5705405405405406","0.5705405405405406","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"43","0.574864864864865","0.574864864864865","0.574864864864865","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"45","0.5643243243243242","0.5643243243243242","0.5643243243243242","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"47","0.5737837837837838","0.5737837837837838","0.5737837837837838","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"49","0.5732432432432434","0.5732432432432434","0.5732432432432434","0.5700000000000002","0.5700000000000002","0.5700000000000002"
