"Step","eager-shadow-1 - train_accuracy","eager-shadow-1 - train_accuracy__MIN","eager-shadow-1 - train_accuracy__MAX","eager-shadow-1 - val_accuracy","eager-shadow-1 - val_accuracy__MIN","eager-shadow-1 - val_accuracy__MAX"
"1","0.5305405405405406","0.5305405405405406","0.5305405405405406","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"3","0.534864864864865","0.534864864864865","0.534864864864865","0.59","0.59","0.59"
"5","0.5421621621621622","0.5421621621621622","0.5421621621621622","0.62","0.62","0.62"
"7","0.5513513513513513","0.5513513513513513","0.5513513513513513","0.6499999999999997","0.6499999999999997","0.6499999999999997"
"9","0.5502702702702702","0.5502702702702702","0.5502702702702702","0.66","0.66","0.66"
"11","0.5448648648648647","0.5448648648648647","0.5448648648648647","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"13","0.5483783783783783","0.5483783783783783","0.5483783783783783","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"15","0.5554054054054053","0.5554054054054053","0.5554054054054053","0.59","0.59","0.59"
"17","0.5521621621621623","0.5521621621621623","0.5521621621621623","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"19","0.5591891891891894","0.5591891891891894","0.5591891891891894","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"21","0.5562162162162163","0.5562162162162163","0.5562162162162163","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"23","0.5621621621621622","0.5621621621621622","0.5621621621621622","0.59","0.59","0.59"
"25","0.5602702702702703","0.5602702702702703","0.5602702702702703","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"27","0.5599999999999998","0.5599999999999998","0.5599999999999998","0.59","0.59","0.59"
"29","0.5564864864864867","0.5564864864864867","0.5564864864864867","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"31","0.5564864864864866","0.5564864864864866","0.5564864864864866","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"33","0.5583783783783783","0.5583783783783783","0.5583783783783783","0.53","0.53","0.53"
"35","0.5537837837837841","0.5537837837837841","0.5537837837837841","0.53","0.53","0.53"
"37","0.5494594594594595","0.5494594594594595","0.5494594594594595","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"39","0.5559459459459457","0.5559459459459457","0.5559459459459457","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"41","0.5564864864864866","0.5564864864864866","0.5564864864864866","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"43","0.5529729729729731","0.5529729729729731","0.5529729729729731","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"45","0.5554054054054055","0.5554054054054055","0.5554054054054055","0.5199999999999997","0.5199999999999997","0.5199999999999997"
"47","0.5594594594594595","0.5594594594594595","0.5594594594594595","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"49","0.5589189189189189","0.5589189189189189","0.5589189189189189","0.59","0.59","0.59"
"51","0.5545945945945946","0.5545945945945946","0.5545945945945946","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"53","0.5597297297297296","0.5597297297297296","0.5597297297297296","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"55","0.5667567567567569","0.5667567567567569","0.5667567567567569","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"57","0.5618918918918919","0.5618918918918919","0.5618918918918919","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"59","0.5591891891891891","0.5591891891891891","0.5591891891891891","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"61","0.5721621621621622","0.5721621621621622","0.5721621621621622","0.59","0.59","0.59"
"63","0.5745945945945945","0.5745945945945945","0.5745945945945945","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"65","0.5683783783783786","0.5683783783783786","0.5683783783783786","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"67","0.5762162162162162","0.5762162162162162","0.5762162162162162","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"69","0.5786486486486486","0.5786486486486486","0.5786486486486486","0.62","0.62","0.62"
"71","0.5840540540540541","0.5840540540540541","0.5840540540540541","0.62","0.62","0.62"
"73","0.5802702702702701","0.5802702702702701","0.5802702702702701","0.6499999999999997","0.6499999999999997","0.6499999999999997"
"75","0.5794594594594594","0.5794594594594594","0.5794594594594594","0.63","0.63","0.63"
"77","0.5802702702702701","0.5802702702702701","0.5802702702702701","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"79","0.5791891891891892","0.5791891891891892","0.5791891891891892","0.6000000000000003","0.6000000000000003","0.6000000000000003"
