audio_16block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy,,audio_8block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy,,audio_16block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy,,audio_8block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy
,1,0.513408042,0.52,,,1,0.513408042,0.52,,,1,0.513408042,0.52,,,1,0.513408042,0.52
,2,0.519077126,0.555121951,,,2,0.518075148,0.513170732,,,100,0.710982202,0.747317073,,,100,0.644034278,0.709268293
,3,0.521318392,0.530731707,,,3,0.519261701,0.51804878,,,200,0.784627554,0.795121951,,,200,0.72474621,0.75804878
,4,0.526381015,0.501463415,,,4,0.520685564,0.505365854,,,300,0.82225445,0.84195122,,,300,0.761344759,0.791219512
,5,0.529624258,0.529756098,,,5,0.523032301,0.503414634,,,400,0.850705339,0.855609756,,,400,0.790454845,0.788292683
,6,0.532313777,0.540487805,,,6,0.523928807,0.510243902,,,500,0.865814107,0.862439024,,,500,0.807435728,0.788292683
,7,0.533526697,0.540487805,,,7,0.526117337,0.501463415,,,600,0.87343441,0.874146341,,,600,0.817165458,0.80195122
,8,0.536110745,0.524878049,,,8,0.526117337,0.500487805,,,700,0.884218853,0.868292683,,,700,0.829321028,0.809756098
,9,0.54006592,0.550243902,,,9,0.52595913,0.503414634,,,800,0.888859591,0.871219512,,,800,0.834937376,0.807804878
,10,0.539143045,0.55902439,,,10,0.526671061,0.512195122,,,900,0.893263019,0.886829268,,,900,0.84097561,0.811707317
,11,0.541384311,0.55804878,,,11,0.529756098,0.52,,,999,0.892577456,0.883902439,,,999,0.841133817,0.815609756
,12,0.543520105,0.591219512,,,12,0.530309822,0.504390244,,,,,,,,,,
,13,0.544970336,0.569756098,,,13,0.530784443,0.516097561,,,,,,,,,,
,14,0.545339486,0.542439024,,,14,0.530309822,0.503414634,,,,,,,,,,
,15,0.545392221,0.548292683,,,15,0.531285432,0.523902439,,,,,,,,,,
,16,0.547712591,0.546341463,,,16,0.532340145,0.503414634,,,,,,,,,,
,17,0.548292683,0.543414634,,,17,0.532972973,0.502439024,,,,,,,,,,
,18,0.550006592,0.568780488,,,18,0.535266974,0.509268293,,,,,,,,,,
,19,0.550454845,0.55804878,,,19,0.535082399,0.500487805,,,,,,,,,,
,20,0.553777192,0.542439024,,,20,0.536084377,0.507317073,,,,,,,,,,
,21,0.555411997,0.52,,,21,0.537218194,0.517073171,,,,,,,,,,
,22,0.557969677,0.505365854,,,22,0.538747528,0.523902439,,,,,,,,,,
,23,0.556967699,0.512195122,,,23,0.540355966,0.505365854,,,,,,,,,,
,24,0.560896506,0.504390244,,,24,0.541199736,0.517073171,,,,,,,,,,
,25,0.562083059,0.515121951,,,25,0.542676335,0.51902439,,,,,,,,,,
,26,0.561898484,0.526829268,,,26,0.543230059,0.515121951,,,,,,,,,,
,27,0.568226763,0.564878049,,,27,0.544021094,0.529756098,,,,,,,,,,
,28,0.5705735,0.537560976,,,28,0.546420567,0.52097561,,,,,,,,,,
,29,0.574159525,0.578536585,,,29,0.544601187,0.51804878,,,,,,,,,,
,30,0.576585366,0.577560976,,,30,0.547000659,0.508292683,,,,,,,,,,
,31,0.576717205,0.553170732,,,31,0.547211602,0.51902439,,,,,,,,,,
,32,0.580197759,0.562926829,,,32,0.550191167,0.536585366,,,,,,,,,,
,33,0.579617666,0.573658537,,,33,0.5486882,0.537560976,,,,,,,,,,
,34,0.586077785,0.590243902,,,34,0.553276203,0.541463415,,,,,,,,,,
,35,0.589321028,0.610731707,,,35,0.554172709,0.532682927,,,,,,,,,,
,36,0.588371786,0.615609756,,,36,0.555464733,0.533658537,,,,,,,,,,
