audio_8block,Epoch,sunny-dust-3 - train_accuracy__MAX,val_accuracy
,1,0.511667765,0.511219512
,2,0.518075148,0.513170732
,3,0.519261701,0.51804878
,4,0.520685564,0.505365854
,5,0.523032301,0.503414634
,6,0.523928807,0.510243902
,7,0.526117337,0.501463415
,8,0.526117337,0.500487805
,9,0.52595913,0.503414634
,10,0.526671061,0.512195122
,11,0.529756098,0.52
,12,0.530309822,0.504390244
,13,0.530784443,0.516097561
,14,0.530309822,0.503414634
,15,0.531285432,0.523902439
,16,0.532340145,0.503414634
,17,0.532972973,0.502439024
,18,0.535266974,0.509268293
,19,0.535082399,0.500487805
,20,0.536084377,0.507317073
,21,0.537218194,0.517073171
,22,0.538747528,0.523902439
,23,0.540355966,0.505365854
,24,0.541199736,0.517073171
,25,0.542676335,0.51902439
,26,0.543230059,0.515121951
,27,0.544021094,0.529756098
,28,0.546420567,0.52097561
,29,0.544601187,0.51804878
,30,0.547000659,0.508292683
,31,0.547211602,0.51902439
,32,0.550191167,0.536585366
,33,0.5486882,0.537560976
,34,0.553276203,0.541463415
,35,0.554172709,0.532682927
,36,0.555464733,0.533658537
,37,0.553460778,0.538536585
,38,0.559367172,0.546341463
,39,0.559367172,0.570731707
,40,0.56413975,0.56
,41,0.564508899,0.565853659
,42,0.564403428,0.56097561
,43,0.565800923,0.564878049
,44,0.567303889,0.556097561
,45,0.569202373,0.533658537
,46,0.568727752,0.537560976
,47,0.571496374,0.526829268
,48,0.574185893,0.533658537
,49,0.574502307,0.540487805
,50,0.578272907,0.562926829
,51,0.58249176,0.55902439
,52,0.585023072,0.580487805
,53,0.583520105,0.573658537
,54,0.586288728,0.572682927
,55,0.586025049,0.55804878
,56,0.584363876,0.573658537
,57,0.586025049,0.568780488
,58,0.588398154,0.583414634
,59,0.588108108,0.59804878
,60,0.594937376,0.582439024
,61,0.596203032,0.578536585
,62,0.598022413,0.578536585
,63,0.59939354,0.569756098
,64,0.596150297,0.573658537
,65,0.597758734,0.587317073
,66,0.599815425,0.6
,67,0.60340145,0.606829268
,68,0.603085036,0.610731707
,69,0.601344759,0.582439024
,70,0.600105471,0.605853659
,71,0.603796968,0.596097561
,72,0.608859591,0.59804878
,73,0.607673039,0.59804878
,74,0.61276203,0.603902439
,75,0.610520765,0.618536585
,76,0.613816744,0.620487805
,77,0.614238629,0.626341463
,78,0.61713909,0.603902439
,79,0.621437047,0.60195122
,80,0.623256427,0.586341463
,81,0.621147001,0.604878049
,82,0.625023072,0.6
,83,0.630085695,0.616585366
,84,0.624100198,0.633170732
,85,0.625576796,0.624390244
,86,0.63100857,0.647804878
,87,0.637600527,0.650731707
,88,0.638681608,0.643902439
,89,0.64195122,0.652682927
,90,0.637916941,0.642926829
,91,0.637099539,0.64
,92,0.636018457,0.643902439
,93,0.633091628,0.644878049
,94,0.641371127,0.670243902
,95,0.641107449,0.658536585
,96,0.643506922,0.654634146
,97,0.645009888,0.659512195
,98,0.647804878,0.674146341
,99,0.644429796,0.687804878
,100,0.644034278,0.709268293
,101,0.647277521,0.673170732
,102,0.648174028,0.669268293
,103,0.646354647,0.671219512
,104,0.652129202,0.689756098
,105,0.651285432,0.671219512
,106,0.652471984,0.696585366
,107,0.654080422,0.682926829
,108,0.651786421,0.686829268
,109,0.651839156,0.657560976
,110,0.656163481,0.670243902
,111,0.660593276,0.669268293
,112,0.661199736,0.699512195
,113,0.662544496,0.675121951
,114,0.656796309,0.657560976
,115,0.663493738,0.674146341
,116,0.661806196,0.674146341
,117,0.663941991,0.686829268
,118,0.667580751,0.712195122
,119,0.663071852,0.714146341
,120,0.666947924,0.708292683
,121,0.669953856,0.72097561
,122,0.665735003,0.717073171
,123,0.66663151,0.689756098
,124,0.666077785,0.677073171
,125,0.672063283,0.696585366
,126,0.676519446,0.687804878
,127,0.677099539,0.690731707
,128,0.676545814,0.693658537
,129,0.68036915,0.690731707
,130,0.679525379,0.706341463
,131,0.681845748,0.701463415
,132,0.680263678,0.699512195
,133,0.680553724,0.709268293
,134,0.682636783,0.706341463
,135,0.678892551,0.709268293
,136,0.677363217,0.700487805
,137,0.682135794,0.713170732
,138,0.683612393,0.727804878
,139,0.684482531,0.730731707
,140,0.685299934,0.723902439
,141,0.68717205,0.706341463
,142,0.686987475,0.706341463
,143,0.685721819,0.71804878
,144,0.680922874,0.685853659
,145,0.686328279,0.708292683
,146,0.687303889,0.736585366
,147,0.688094924,0.72195122
,148,0.691021753,0.728780488
,149,0.687145682,0.741463415
,150,0.689096902,0.736585366
,151,0.693183916,0.709268293
,152,0.699011206,0.72
,153,0.692972973,0.72
,154,0.696875412,0.71804878
,155,0.702359921,0.732682927
,156,0.694924192,0.729756098
,157,0.700962426,0.726829268
,158,0.696268952,0.730731707
,159,0.697323665,0.703414634
,160,0.699406724,0.72
,161,0.700566908,0.725853659
,162,0.702069875,0.72
,163,0.698141068,0.722926829
,164,0.702966381,0.71804878
,165,0.699063942,0.710243902
,166,0.699485827,0.723902439
,167,0.700856955,0.735609756
,168,0.703546473,0.745365854
,169,0.706315096,0.743414634
,170,0.702649967,0.735609756
,171,0.704363876,0.737560976
,172,0.706736981,0.735609756
,173,0.707923533,0.753170732
,174,0.708398154,0.745365854
,175,0.709083718,0.730731707
,176,0.708609097,0.739512195
,177,0.709742914,0.730731707
,178,0.708371786,0.726829268
,179,0.712617007,0.728780488
,180,0.711588662,0.722926829
,181,0.712854318,0.743414634
,182,0.714700066,0.751219512
,183,0.715939354,0.751219512
,184,0.714831905,0.756097561
,185,0.713909031,0.748292683
,186,0.716255768,0.743414634
,187,0.717732367,0.76097561
,188,0.717231378,0.755121951
,189,0.717600527,0.745365854
,190,0.715596572,0.741463415
,191,0.71599209,0.741463415
,192,0.718707976,0.736585366
,193,0.720685564,0.741463415
,194,0.718813448,0.736585366
,195,0.720711931,0.756097561
,196,0.722742254,0.766829268
,197,0.719208965,0.773658537
,198,0.718576137,0.763902439
,199,0.726855636,0.756097561
,200,0.72474621,0.75804878
,201,0.721107449,0.768780488
,202,0.721265656,0.769756098
,203,0.724113382,0.772682927
,204,0.727620303,0.76195122
,205,0.725932762,0.762926829
,206,0.725827291,0.752195122
,207,0.726671061,0.764878049
,208,0.726961107,0.76195122
,209,0.724825313,0.739512195
,210,0.726512854,0.755121951
,211,0.729571523,0.766829268
,212,0.731839156,0.774634146
,213,0.729176005,0.766829268
,214,0.732603823,0.762926829
,215,0.7313118,0.763902439
,216,0.72656559,0.770731707
,217,0.731601846,0.757073171
,218,0.732630191,0.76097561
,219,0.73410679,0.763902439
,220,0.733553065,0.76097561
,221,0.733025709,0.76097561
,222,0.733342123,0.75804878
,223,0.735135135,0.76195122
,224,0.730705339,0.76
,225,0.733210283,0.76195122
,226,0.735398813,0.753170732
,227,0.735266974,0.757073171
,228,0.735056032,0.773658537
,229,0.734818721,0.76195122
,230,0.734555043,0.766829268
,231,0.735609756,0.771707317
,232,0.73592617,0.767804878
,233,0.737270929,0.76
,234,0.737930125,0.752195122
,235,0.740276862,0.75902439
,236,0.738589321,0.769756098
,237,0.741120633,0.777560976
,238,0.74127884,0.775609756
,239,0.741568886,0.769756098
,240,0.741911668,0.756097561
,241,0.740355966,0.763902439
,242,0.740382334,0.763902439
,243,0.745524061,0.75804878
,244,0.742623599,0.746341463
,245,0.743599209,0.762926829
,246,0.744522083,0.76195122
,247,0.749030982,0.749268293
,248,0.743651945,0.756097561
,249,0.743256427,0.745365854
,250,0.742887278,0.76
,251,0.748477258,0.766829268
,252,0.742518128,0.763902439
,253,0.745339486,0.763902439
,254,0.747317073,0.775609756
,255,0.746657877,0.774634146
,256,0.747264338,0.767804878
,257,0.748714568,0.771707317
,258,0.750138431,0.762926829
,259,0.746367831,0.762926829
,260,0.7494265,0.767804878
,261,0.746526038,0.779512195
