stripe_1block95raito,Epoch,stilted-spaceship-1 - train_accuracy__MAX,val_accuracy
,1,0.528648649,0.53
,2,0.524324324,0.52
,3,0.531351351,0.5
,4,0.527297297,0.51
,5,0.530540541,0.56
,6,0.530540541,0.53
,7,0.532162162,0.52
,8,0.535405405,0.51
,9,0.531081081,0.51
,10,0.533783784,0.51
,11,0.53972973,0.51
,12,0.533513514,0.5
,13,0.534594595,0.51
,14,0.534864865,0.51
,15,0.537297297,0.53
,16,0.535405405,0.52
,17,0.541351351,0.51
,18,0.535405405,0.52
,19,0.53972973,0.53
,20,0.53972973,0.53
,21,0.541891892,0.55
,22,0.540540541,0.53
,23,0.53972973,0.53
,24,0.543243243,0.52
,25,0.541891892,0.54
,26,0.546486486,0.54
,27,0.543513514,0.52
,28,0.547837838,0.56
,29,0.542972973,0.59
,30,0.548378378,0.56
,31,0.546486486,0.58
,32,0.544864865,0.56
,33,0.545135135,0.57
,34,0.548378378,0.57
,35,0.546486486,0.57
,36,0.544324324,0.58
,37,0.546756757,0.58
,38,0.545675676,0.55
,39,0.550540541,0.53
,40,0.55,0.54
,41,0.547837838,0.55
,42,0.550810811,0.53
,43,0.551621622,0.51
,44,0.553243243,0.52
,45,0.553783784,0.52
,46,0.551891892,0.54
,47,0.547837838,0.57
,48,0.55,0.57
,49,0.551891892,0.56
,50,0.551621622,0.56
,51,0.555135135,0.55
,52,0.552162162,0.51
,53,0.555675676,0.51
,54,0.552972973,0.51
,55,0.554594595,0.52
,56,0.557567568,0.52
,57,0.554324324,0.54
,58,0.554864865,0.53
,59,0.558108108,0.54
,60,0.558918919,0.52
,61,0.556216216,0.54
,62,0.561081081,0.55
,63,0.561891892,0.55
,64,0.559459459,0.55
,65,0.555135135,0.56
,66,0.56,0.52
,67,0.561351351,0.53
,68,0.566756757,0.56
,69,0.561351351,0.55
,70,0.56,0.53
,71,0.566216216,0.52
,72,0.566486486,0.53
,73,0.564594595,0.54
,74,0.564864865,0.52
,75,0.566486486,0.53
,76,0.561621622,0.53
,77,0.566216216,0.55
,78,0.569459459,0.56
,79,0.565135135,0.54
,80,0.565945946,0.52
,81,0.573243243,0.52
,82,0.568648649,0.53
,83,0.563783784,0.54
,84,0.564864865,0.55
