stripe_1block99ratio,Epoch,glamorous-meadow-1 - train_accuracy__MAX,val_accuracy,,stripe_1block95raito,Epoch,stilted-spaceship-1 - train_accuracy__MAX,val_accuracy
,1,0.529189189,0.51,,,1,0.528648649,0.53
,100,0.572162162,0.5,,,100,0.577027027,0.52
,200,0.604594595,0.52,,,200,0.624054054,0.51
,300,0.642972973,0.54,,,300,0.686756757,0.6
,400,0.67027027,0.56,,,400,0.754054054,0.75
,500,0.701891892,0.58,,,500,0.831081081,0.83
,600,0.715135135,0.58,,,600,0.896486486,0.9
,700,0.718108108,0.62,,,700,0.92,0.93
,800,0.728648649,0.61,,,800,0.938108108,0.94
,900,0.731081081,0.61,,,900,0.943513514,0.93
,999,0.739189189,0.6,,,999,0.949189189,0.95
