"Step","summer-firefly-1 - train_accuracy","summer-firefly-1 - train_accuracy__MIN","summer-firefly-1 - train_accuracy__MAX","summer-firefly-1 - val_accuracy","summer-firefly-1 - val_accuracy__MIN","summer-firefly-1 - val_accuracy__MAX"
"1","0.5324324324324323","0.5324324324324323","0.5324324324324323","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"3","0.5308108108108108","0.5308108108108108","0.5308108108108108","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"5","0.5348648648648647","0.5348648648648647","0.5348648648648647","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"7","0.5321621621621621","0.5321621621621621","0.5321621621621621","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"9","0.5335135135135136","0.5335135135135136","0.5335135135135136","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"11","0.5372972972972974","0.5372972972972974","0.5372972972972974","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"13","0.5405405405405406","0.5405405405405406","0.5405405405405406","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"15","0.5427027027027027","0.5427027027027027","0.5427027027027027","0.5","0.5","0.5"
"17","0.5427027027027026","0.5427027027027026","0.5427027027027026","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"19","0.5416216216216216","0.5416216216216216","0.5416216216216216","0.5","0.5","0.5"
"21","0.5432432432432432","0.5432432432432432","0.5432432432432432","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"23","0.544864864864865","0.544864864864865","0.544864864864865","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"25","0.5416216216216218","0.5416216216216218","0.5416216216216218","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"27","0.5456756756756758","0.5456756756756758","0.5456756756756758","0.53","0.53","0.53"
"29","0.5470270270270271","0.5470270270270271","0.5470270270270271","0.53","0.53","0.53"
"31","0.5483783783783786","0.5483783783783786","0.5483783783783786","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"33","0.547837837837838","0.547837837837838","0.547837837837838","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"35","0.5489189189189191","0.5489189189189191","0.5489189189189191","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"37","0.545945945945946","0.545945945945946","0.545945945945946","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"39","0.5499999999999998","0.5499999999999998","0.5499999999999998","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"41","0.5467567567567567","0.5467567567567567","0.5467567567567567","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"43","0.5508108108108108","0.5508108108108108","0.5508108108108108","0.59","0.59","0.59"
"45","0.5494594594594595","0.5494594594594595","0.5494594594594595","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"47","0.552972972972973","0.552972972972973","0.552972972972973","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"49","0.5524324324324325","0.5524324324324325","0.5524324324324325","0.59","0.59","0.59"
"51","0.5521621621621622","0.5521621621621622","0.5521621621621622","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"53","0.5551351351351352","0.5551351351351352","0.5551351351351352","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"55","0.5527027027027027","0.5527027027027027","0.5527027027027027","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"57","0.5521621621621622","0.5521621621621622","0.5521621621621622","0.63","0.63","0.63"
"59","0.5562162162162163","0.5562162162162163","0.5562162162162163","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"61","0.554054054054054","0.554054054054054","0.554054054054054","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"63","0.5567567567567568","0.5567567567567568","0.5567567567567568","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"65","0.555945945945946","0.555945945945946","0.555945945945946","0.59","0.59","0.59"
"67","0.5556756756756757","0.5556756756756757","0.5556756756756757","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"69","0.5540540540540541","0.5540540540540541","0.5540540540540541","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"71","0.5583783783783783","0.5583783783783783","0.5583783783783783","0.62","0.62","0.62"
"73","0.5583783783783784","0.5583783783783784","0.5583783783783784","0.63","0.63","0.63"
"75","0.5581081081081083","0.5581081081081083","0.5581081081081083","0.63","0.63","0.63"
"77","0.5597297297297298","0.5597297297297298","0.5597297297297298","0.62","0.62","0.62"
"79","0.5554054054054054","0.5554054054054054","0.5554054054054054","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"81","0.5570270270270271","0.5570270270270271","0.5570270270270271","0.63","0.63","0.63"
"83","0.5610810810810812","0.5610810810810812","0.5610810810810812","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"85","0.5594594594594595","0.5594594594594595","0.5594594594594595","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"87","0.5600000000000002","0.5600000000000002","0.5600000000000002","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"89","0.5637837837837838","0.5637837837837838","0.5637837837837838","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"91","0.5594594594594594","0.5594594594594594","0.5594594594594594","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"93","0.5602702702702704","0.5602702702702704","0.5602702702702704","0.6400000000000002","0.6400000000000002","0.6400000000000002"
