Epoch,lunar-surf-1 - train_accuracy__MAX,lunar-surf-1 - val_accuracy__MAX
1,0.531621622,0.56
2,0.530540541,0.6
3,0.537297297,0.63
4,0.544324324,0.61
5,0.544324324,0.6
6,0.545675676,0.61
7,0.55027027,0.59
8,0.550810811,0.56
9,0.551351351,0.55
10,0.552702703,0.55
11,0.556756757,0.54
12,0.56,0.56
13,0.564864865,0.55
14,0.564594595,0.55
15,0.564324324,0.55
16,0.568378378,0.54
17,0.568648649,0.57
18,0.570810811,0.56
19,0.566756757,0.55
20,0.577027027,0.56
21,0.57,0.56
22,0.571891892,0.54
23,0.574864865,0.55
24,0.575405405,0.55
25,0.576756757,0.54
26,0.571351351,0.54
27,0.575405405,0.54
28,0.581081081,0.55
29,0.57972973,0.54
30,0.578918919,0.55
31,0.575675676,0.54
32,0.577837838,0.54
33,0.577297297,0.53
34,0.585675676,0.53
35,0.581621622,0.52
36,0.581621622,0.56
37,0.576216216,0.53
38,0.584594595,0.54
39,0.584324324,0.53
40,0.581891892,0.53
41,0.587027027,0.52
42,0.582702703,0.51
43,0.584324324,0.5
44,0.578648649,0.5
45,0.585675676,0.52
46,0.588918919,0.52
47,0.585675676,0.52
48,0.585675676,0.51
49,0.586486486,0.53
50,0.585945946,0.54
51,0.588918919,0.55
52,0.58972973,0.55
53,0.595135135,0.55
54,0.591891892,0.55
55,0.588918919,0.54
56,0.588378378,0.54
57,0.596486486,0.54
58,0.595675676,0.56
59,0.590810811,0.56
60,0.594054054,0.56
61,0.602162162,0.56
62,0.603513514,0.55
63,0.603513514,0.57
64,0.602702703,0.58
65,0.602432432,0.59
66,0.604054054,0.62
67,0.607837838,0.62
68,0.605945946,0.61
69,0.605405405,0.61
70,0.60972973,0.62
71,0.614864865,0.62
72,0.61972973,0.62
73,0.619189189,0.63
74,0.618378378,0.63
75,0.61972973,0.63
76,0.621351351,0.62
77,0.63,0.65
78,0.626486486,0.63
79,0.626216216,0.67
80,0.628108108,0.67
81,0.631351351,0.7
82,0.634054054,0.71
83,0.655945946,0.7
84,0.652702703,0.73
85,0.669189189,0.74
86,0.68027027,0.74
87,0.683513514,0.75
88,0.688378378,0.72
89,0.688648649,0.73
90,0.700810811,0.73
91,0.724054054,0.77
92,0.72972973,0.77
93,0.738108108,0.78
94,0.751081081,0.78
95,0.763783784,0.78
96,0.771351351,0.78
97,0.782432432,0.8
98,0.797567568,0.79
99,0.80027027,0.82
100,0.811081081,0.84
101,0.810810811,0.83
102,0.819459459,0.81
103,0.831621622,0.82
104,0.843783784,0.81
105,0.851081081,0.82
106,0.84972973,0.81
107,0.866216216,0.83
108,0.863243243,0.84
109,0.871081081,0.88
110,0.882162162,0.89
111,0.888918919,0.89
112,0.892702703,0.87
113,0.891621622,0.89
114,0.901351351,0.9
115,0.905135135,0.91
116,0.912432432,0.89
117,0.904324324,0.9
118,0.904054054,0.92
119,0.907837838,0.93
120,0.908918919,0.92
121,0.911351351,0.92
122,0.91027027,0.93
123,0.913513514,0.9
124,0.917837838,0.93
125,0.922702703,0.94
126,0.933513514,0.98
127,0.933783784,0.99
128,0.934324324,0.97
129,0.942972973,0.96
130,0.940810811,0.97
131,0.943243243,0.96
132,0.944324324,0.96
133,0.945405405,0.97
134,0.948918919,0.98
135,0.948378378,0.98
136,0.950810811,0.98
137,0.954594595,0.99
138,0.952702703,0.98
139,0.952162162,0.98
140,0.952702703,0.97
141,0.954594595,0.98
142,0.959189189,0.99
143,0.958378378,0.99
144,0.955675676,1
145,0.959459459,1
146,0.962972973,1
147,0.963783784,1
148,0.964324324,1
149,0.965945946,1
150,0.965135135,1
151,0.961081081,1
152,0.959189189,1
153,0.965405405,1
154,0.968108108,1
155,0.97027027,1
156,0.968378378,1
157,0.972432432,1
158,0.972972973,1
159,0.969459459,1
160,0.971351351,1
161,0.972972973,1
162,0.971081081,1
163,0.977297297,1
164,0.976756757,1
165,0.974324324,1
166,0.978918919,1
167,0.977837838,1
168,0.977567568,1
169,0.977567568,1
170,0.97972973,1
171,0.982162162,1
172,0.977297297,1
173,0.979459459,1
174,0.981351351,1
175,0.981891892,1
176,0.980540541,1
177,0.982162162,1
178,0.983783784,1
179,0.982972973,1
180,0.982702703,1
181,0.981891892,1
182,0.982432432,1
183,0.982162162,1
184,0.982702703,1
185,0.984864865,1
186,0.984324324,1
187,0.984054054,1
188,0.982162162,1
189,0.982972973,1
190,0.986486486,1
191,0.987027027,1
192,0.987297297,1
193,0.986486486,1
194,0.987297297,1
195,0.987297297,1
196,0.987297297,1
197,0.987297297,1
198,0.987297297,1
199,0.987567568,1
200,0.988378378,1
201,0.989189189,1
202,0.988918919,1
203,0.988648649,1
204,0.989189189,1
205,0.988648649,1
206,0.99,1
207,0.98972973,1
208,0.99,1
209,0.98972973,1
210,0.99,1
211,0.98972973,1
212,0.99027027,1
213,0.989459459,1
214,0.98972973,1
215,0.990540541,1
216,0.99,1
217,0.990540541,1
218,0.99,1
219,0.990540541,1
220,0.990540541,1
221,0.99,1
222,0.991351351,1
223,0.991081081,1
224,0.99027027,1
225,0.99027027,1
226,0.99,1
227,0.991081081,1
228,0.991081081,1
229,0.991081081,1
230,0.990810811,1
231,0.990540541,1
232,0.991351351,1
233,0.991621622,1
234,0.990540541,1
235,0.991081081,1
236,0.991081081,1
237,0.990810811,1
238,0.990540541,1
239,0.991891892,1
240,0.991621622,1
241,0.991621622,1
242,0.991351351,1
243,0.992972973,1
244,0.992432432,1
245,0.992162162,1
246,0.992972973,1
247,0.991621622,1
248,0.993783784,1
249,0.993783784,1
250,0.992702703,1
251,0.992972973,1
252,0.991891892,1
253,0.992702703,1
254,0.994054054,1
255,0.992972973,1
256,0.993243243,1
257,0.991081081,1
258,0.993513514,1
259,0.993243243,1
260,0.994054054,1
261,0.993783784,1
262,0.992702703,1
263,0.994864865,1
264,0.994864865,1
265,0.994054054,1
266,0.994864865,1
267,0.995135135,1
268,0.995675676,1
269,0.996486486,1
270,0.994594595,1
271,0.994864865,1
272,0.995405405,1
273,0.993783784,1
274,0.997027027,1
275,0.994324324,1
276,0.994594595,1
277,0.994864865,1
278,0.996216216,1
279,0.995405405,1
280,0.993783784,1
281,0.994324324,1
282,0.994864865,1
283,0.996756757,1
284,0.995135135,1
285,0.995135135,1
286,0.995135135,1
287,0.996756757,1
288,0.996756757,1
289,0.995945946,1
290,0.995945946,1
291,0.997297297,1
292,0.996216216,1
293,0.996216216,1
294,0.994324324,1
295,0.996756757,1
296,0.995675676,1
297,0.996486486,1
298,0.995675676,1
299,0.997027027,1
300,0.997297297,1
301,0.997297297,1
302,0.996756757,1
303,0.997297297,1
304,0.997837838,1
305,0.997027027,1
306,0.998378378,1
307,0.996756757,1
308,0.997027027,1
309,0.998378378,1
310,0.998648649,1
311,0.998108108,1
312,0.998108108,1
313,0.996486486,1
314,0.997567568,1
315,0.997027027,1
316,0.997297297,1
317,0.998108108,1
318,0.997297297,1
319,0.997297297,1
320,0.997567568,1
321,0.995135135,1
322,0.995945946,1
323,0.996756757,1
324,0.997837838,1
325,0.996486486,1
326,0.998378378,1
327,0.997567568,1
328,0.998648649,1
